               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0151,              0.0188,           0.0060333,             0.98828,             0.98961,             0.99385,              0.8937,            0.012807,            0.022218,            0.003754,            0.006535,            0.006535,            0.006535
                  37,            0.014855,             0.01905,           0.0064283,             0.99132,             0.98293,             0.99432,             0.90348,             0.01418,            0.022437,           0.0040611,            0.006436,            0.006436,            0.006436
                  38,            0.013553,             0.01916,           0.0074073,             0.98921,              0.9854,             0.99371,             0.90477,            0.011941,            0.021379,           0.0046641,            0.006337,            0.006337,            0.006337
                  39,            0.014487,            0.017393,           0.0070541,             0.99144,             0.98603,             0.99399,             0.89198,            0.012852,            0.022214,           0.0047975,            0.006238,            0.006238,            0.006238
                  40,            0.014371,            0.018766,           0.0067697,             0.99133,             0.99081,             0.99356,             0.90587,            0.012282,            0.021713,           0.0046789,            0.006139,            0.006139,            0.006139
                  41,            0.014022,            0.019326,           0.0058158,             0.99187,             0.98653,             0.99368,             0.89408,            0.013104,            0.021866,           0.0050025,             0.00604,             0.00604,             0.00604
                  42,             0.01268,            0.018023,           0.0061896,             0.98585,             0.98657,             0.99298,             0.90611,            0.014238,             0.02344,           0.0049878,            0.005941,            0.005941,            0.005941
                  43,            0.013616,            0.016823,           0.0067631,             0.98623,             0.98283,             0.99189,             0.90106,             0.01125,             0.02198,            0.004962,            0.005842,            0.005842,            0.005842
                  44,            0.012749,            0.017295,            0.006504,             0.98312,             0.98083,             0.99029,             0.89321,            0.013097,            0.023609,           0.0049799,            0.005743,            0.005743,            0.005743
                  45,             0.01321,             0.01711,           0.0071717,             0.98995,             0.97948,             0.99055,             0.91071,            0.012338,            0.022802,           0.0047052,            0.005644,            0.005644,            0.005644
                  46,            0.011856,            0.016864,           0.0066032,             0.99055,             0.98273,             0.99073,             0.90166,            0.012064,             0.02264,            0.004668,            0.005545,            0.005545,            0.005545
                  47,            0.012865,            0.017102,           0.0060526,             0.99092,             0.98319,             0.99276,             0.91917,            0.010908,            0.021632,           0.0046283,            0.005446,            0.005446,            0.005446
                  48,            0.012396,            0.017822,           0.0058295,             0.98846,             0.98629,             0.99076,             0.91013,            0.011081,            0.021295,           0.0045942,            0.005347,            0.005347,            0.005347
                  49,            0.013072,            0.017304,           0.0061868,             0.98607,             0.98245,             0.99047,             0.90091,            0.011552,            0.021907,           0.0050526,            0.005248,            0.005248,            0.005248
                  50,            0.012033,            0.017018,           0.0058063,             0.98399,             0.98316,              0.9922,             0.90913,            0.011643,            0.021543,           0.0050964,            0.005149,            0.005149,            0.005149
                  51,            0.013055,            0.018375,           0.0067289,             0.98701,             0.98715,             0.99252,             0.91034,            0.010273,            0.021157,           0.0047543,             0.00505,             0.00505,             0.00505
                  52,            0.012517,            0.018158,           0.0059004,             0.98896,             0.98702,             0.99333,             0.91701,            0.011007,            0.021868,           0.0042048,            0.004951,            0.004951,            0.004951
                  53,            0.012849,            0.017064,           0.0063589,             0.98771,             0.99128,             0.99387,             0.88846,            0.012533,            0.022237,           0.0034509,            0.004852,            0.004852,            0.004852
                  54,            0.011794,             0.01611,             0.00584,             0.98847,             0.99119,             0.99437,             0.91187,            0.011748,            0.022023,           0.0026024,            0.004753,            0.004753,            0.004753
