epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,921.821,1.08878,1.84913,1.36464,0.70115,0.7961,0.81488,0.56786,0.97491,0.89527,1.28349,0.000302739,0.000302739,0.000302739
2,1831.63,1.08602,1.2621,1.34853,0.82319,0.79692,0.87184,0.59547,0.95612,0.83162,1.25321,0.00060274,0.00060274,0.00060274
3,2765.15,1.09449,1.03074,1.36271,0.87836,0.81922,0.90249,0.61419,1.02173,0.80371,1.28966,0.000899742,0.000899742,0.000899742
4,3659.7,1.07766,0.94615,1.36204,0.86494,0.81774,0.87781,0.60661,0.94954,0.89391,1.25863,0.000895501,0.000895501,0.000895501
5,4553.73,1.07875,1.0743,1.35706,0.87382,0.84569,0.92053,0.65018,0.90944,0.63955,1.22862,0.000891002,0.000891002,0.000891002
6,5448.59,1.03934,0.84105,1.3329,0.9134,0.87675,0.93097,0.6582,0.92417,0.67197,1.21758,0.000886502,0.000886502,0.000886502
7,6459.71,1.01946,0.82928,1.31677,0.9102,0.86992,0.92573,0.66719,0.88396,0.56003,1.20582,0.000882003,0.000882003,0.000882003
8,7446.55,0.99887,0.7421,1.29917,0.90335,0.87034,0.93394,0.67902,0.87988,0.55065,1.19482,0.000877503,0.000877503,0.000877503
9,8410.16,0.98175,0.73022,1.27949,0.90587,0.88852,0.94488,0.69242,0.87614,0.46667,1.19842,0.000873004,0.000873004,0.000873004
10,9388.18,0.97984,0.69812,1.27863,0.92824,0.9013,0.95501,0.6945,0.89349,0.45553,1.18387,0.000868504,0.000868504,0.000868504
11,10314.6,0.98286,0.69116,1.27168,0.93087,0.91131,0.95238,0.69056,0.88432,0.47285,1.1909,0.000864004,0.000864004,0.000864004
12,11209.1,0.94702,0.65818,1.24113,0.92337,0.91226,0.96032,0.70462,0.86365,0.42113,1.1796,0.000859505,0.000859505,0.000859505
13,12104.3,0.95526,0.85635,1.24544,0.93705,0.91341,0.95685,0.6928,0.86052,0.51384,1.17603,0.000855005,0.000855005,0.000855005
14,13000,0.93058,0.6512,1.23277,0.92973,0.90705,0.96016,0.70735,0.84245,0.44596,1.16572,0.000850506,0.000850506,0.000850506
15,13895.7,0.92293,0.63352,1.22576,0.93213,0.92499,0.96231,0.71648,0.83335,0.4083,1.16249,0.000846006,0.000846006,0.000846006
16,14791.4,0.91131,0.61418,1.22255,0.9287,0.93175,0.95991,0.71279,0.82389,0.45422,1.14413,0.000841507,0.000841507,0.000841507
17,15686.6,0.90107,0.5979,1.22004,0.94251,0.9282,0.96803,0.72493,0.82368,0.39514,1.15727,0.000837007,0.000837007,0.000837007
18,16581.9,0.89596,0.58825,1.21371,0.93572,0.94011,0.96653,0.72715,0.80103,0.39322,1.13729,0.000832508,0.000832508,0.000832508
19,17478.1,0.88925,0.89832,1.20317,0.93228,0.93833,0.96073,0.72569,0.80114,0.40677,1.13602,0.000828008,0.000828008,0.000828008
20,18373.4,0.88899,0.59161,1.2016,0.94782,0.93561,0.96774,0.73028,0.80381,0.38091,1.13356,0.000823509,0.000823509,0.000823509
21,19269.1,0.88441,0.56738,1.19669,0.93933,0.94114,0.97145,0.73613,0.78928,0.38161,1.12807,0.000819009,0.000819009,0.000819009
22,20164.7,0.87135,0.60855,1.19057,0.94938,0.93208,0.96959,0.7358,0.77945,0.38959,1.11778,0.000814509,0.000814509,0.000814509
23,21060.1,0.87404,0.59334,1.20005,0.945,0.92889,0.97011,0.73376,0.79386,0.39991,1.12571,0.00081001,0.00081001,0.00081001
24,21955.7,0.86846,0.5739,1.19687,0.93929,0.94764,0.96856,0.73977,0.77012,0.38282,1.11487,0.00080551,0.00080551,0.00080551
