epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.091,0.67057,1.17855,0.95802,0.97154,0.9652,0.9829,0.83523,0.55115,1.64576,0.89963,0.000332075,0.000332075,0.000332075
2,401.943,0.65264,0.65204,0.96897,0.97979,0.98009,0.98793,0.84226,0.54563,0.8609,0.9146,0.000662115,0.000662115,0.000662115
3,594.776,0.68098,0.60789,0.98477,0.98156,0.9849,0.98878,0.8252,0.60015,1.2985,0.95706,0.000988855,0.000988855,0.000988855
4,787.171,0.6366,0.57183,0.96514,0.98651,0.98628,0.98927,0.83132,0.58507,0.73806,0.92359,0.00098515,0.00098515,0.00098515
5,980.45,0.6272,0.53979,0.95522,0.98163,0.97943,0.9897,0.8519,0.51426,0.70658,0.87847,0.0009802,0.0009802,0.0009802
6,1173.92,0.62236,0.51536,0.95081,0.99295,0.98994,0.99234,0.86835,0.48994,0.39983,0.85578,0.00097525,0.00097525,0.00097525
7,1369.05,0.60419,0.49444,0.94688,0.98649,0.98567,0.99247,0.86851,0.50401,0.55318,0.86363,0.0009703,0.0009703,0.0009703
8,1562.71,0.58736,0.50007,0.93591,0.98923,0.98327,0.99202,0.86858,0.49752,0.4471,0.86697,0.00096535,0.00096535,0.00096535
9,1756.05,0.59418,0.48688,0.94164,0.9913,0.98396,0.99292,0.87633,0.48691,0.34755,0.85524,0.0009604,0.0009604,0.0009604
10,1949.33,0.56752,0.4484,0.92733,0.98931,0.99471,0.99263,0.87978,0.4732,0.38724,0.84945,0.00095545,0.00095545,0.00095545
11,2144.72,0.55549,0.4525,0.9207,0.98439,0.97944,0.98896,0.87419,0.47937,0.65676,0.8536,0.0009505,0.0009505,0.0009505
12,2339.89,0.56173,0.46556,0.92324,0.99481,0.98708,0.99101,0.87969,0.47318,0.32333,0.85101,0.00094555,0.00094555,0.00094555
13,2534.04,0.56605,0.45409,0.92641,0.995,0.99433,0.99202,0.87923,0.46399,0.81048,0.84377,0.0009406,0.0009406,0.0009406
