epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3806,0.66419,1.61401,0.92599,0.97973,0.98212,0.98683,0.84927,0.53316,2.24156,0.82618,0.00033145,0.00033145,0.00033145
2,154.083,0.60625,0.64697,0.90442,0.96754,0.97297,0.98777,0.85845,0.51335,1.98005,0.81404,0.000660396,0.000660396,0.000660396
3,227.269,0.58941,0.58199,0.9087,0.98771,0.99092,0.99083,0.84555,0.54367,0.43189,0.82733,0.000984942,0.000984942,0.000984942
4,300.981,0.57558,0.54983,0.91219,0.98579,0.99412,0.99342,0.8669,0.48586,0.55629,0.81124,0.0009802,0.0009802,0.0009802
5,374.506,0.55669,0.51413,0.90318,0.99413,0.99496,0.99291,0.88459,0.4556,0.3509,0.79119,0.0009736,0.0009736,0.0009736
6,447.619,0.557,0.5091,0.90098,0.99186,0.99261,0.99331,0.87538,0.49693,0.52839,0.80627,0.000967,0.000967,0.000967
7,520.626,0.55263,0.48589,0.90109,0.98164,0.98698,0.99253,0.87226,0.46398,1.04854,0.80587,0.0009604,0.0009604,0.0009604
8,593.434,0.53046,0.46693,0.89449,0.99571,0.99196,0.9941,0.88739,0.45122,0.29795,0.7995,0.0009538,0.0009538,0.0009538
9,666.486,0.51836,0.4501,0.88728,0.99537,0.99475,0.9929,0.88294,0.46203,0.30028,0.80659,0.0009472,0.0009472,0.0009472
10,739.826,0.51892,0.44865,0.88918,0.99417,0.996,0.99411,0.89459,0.43958,0.30005,0.78349,0.0009406,0.0009406,0.0009406
11,813.114,0.51629,0.45041,0.88559,0.99185,0.99242,0.9935,0.88915,0.4537,0.28913,0.81487,0.000934,0.000934,0.000934
12,886.537,0.49606,0.43034,0.88256,0.99261,0.99069,0.99258,0.886,0.44225,0.28188,0.7803,0.0009274,0.0009274,0.0009274
13,959.88,0.49464,0.42905,0.87077,0.99554,0.99512,0.99436,0.89953,0.42199,0.25883,0.77836,0.0009208,0.0009208,0.0009208
14,1033.43,0.48586,0.41321,0.87104,0.99448,0.9977,0.9943,0.89206,0.44542,0.2922,0.79247,0.0009142,0.0009142,0.0009142
15,1107.05,0.48699,0.41031,0.87171,0.99607,0.99553,0.99459,0.90713,0.40534,0.23774,0.79587,0.0009076,0.0009076,0.0009076
16,1180.62,0.47308,0.40792,0.86654,0.99544,0.99264,0.99359,0.90667,0.40123,0.299,0.75252,0.000901,0.000901,0.000901
17,1253.9,0.48228,0.41186,0.86804,0.99452,0.99404,0.9946,0.90543,0.41536,0.31023,0.78443,0.0008944,0.0008944,0.0008944
18,1326.99,0.47753,0.40049,0.86827,0.994,0.99302,0.99408,0.90098,0.41265,0.2926,0.76994,0.0008878,0.0008878,0.0008878
19,1399.9,0.47432,0.39485,0.86997,0.9962,0.99781,0.99393,0.9018,0.40741,0.25923,0.76424,0.0008812,0.0008812,0.0008812
20,1472.77,0.47164,0.38835,0.86924,0.99388,0.99737,0.99349,0.90383,0.3999,0.29457,0.788,0.0008746,0.0008746,0.0008746
21,1545.88,0.4603,0.3797,0.86332,0.99464,0.99423,0.99331,0.90545,0.40511,0.33844,0.77075,0.000868,0.000868,0.000868
22,1618.98,0.46542,0.39859,0.86818,0.99588,0.99425,0.99363,0.90019,0.4078,0.38348,0.77014,0.0008614,0.0008614,0.0008614
23,1692.22,0.45254,0.38685,0.8635,0.99387,0.99626,0.99373,0.91069,0.38038,0.24692,0.77379,0.0008548,0.0008548,0.0008548
