epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2454.52,0.45261,0.3629,0.85057,0.99636,0.99346,0.99465,0.92335,0.42737,0.213,0.83059,0.00079705,0.00079705,0.00079705
43,2512.87,0.45597,0.36787,0.85424,0.99725,0.99505,0.99499,0.9174,0.43501,0.20899,0.82862,0.0007921,0.0007921,0.0007921
44,2571.08,0.43856,0.34863,0.84938,0.99734,0.99316,0.99498,0.9203,0.43418,0.22012,0.83339,0.00078715,0.00078715,0.00078715
45,2629.33,0.45031,0.3529,0.85079,0.99578,0.99425,0.99496,0.92015,0.4406,0.22351,0.83911,0.0007822,0.0007822,0.0007822
46,2687.64,0.43986,0.35006,0.85086,0.99607,0.99624,0.99499,0.92106,0.42353,0.20184,0.82409,0.00077725,0.00077725,0.00077725
47,2746.24,0.43829,0.33854,0.84597,0.99743,0.99554,0.995,0.92277,0.42394,0.20321,0.82836,0.0007723,0.0007723,0.0007723
48,2804.6,0.43714,0.33949,0.84951,0.99593,0.99626,0.99491,0.92058,0.42402,0.21032,0.83125,0.00076735,0.00076735,0.00076735
49,2862.98,0.43735,0.34948,0.84972,0.99614,0.99599,0.99455,0.92287,0.42297,0.20563,0.82756,0.0007624,0.0007624,0.0007624
50,2921.32,0.43419,0.34283,0.84661,0.99711,0.99664,0.99495,0.9267,0.42131,0.19643,0.82315,0.00075745,0.00075745,0.00075745
51,2979.73,0.43125,0.33164,0.84808,0.99751,0.99675,0.99484,0.92619,0.41273,0.1973,0.8208,0.0007525,0.0007525,0.0007525
52,3037.91,0.43571,0.34,0.84829,0.99671,0.9973,0.99499,0.92608,0.41888,0.19483,0.82312,0.00074755,0.00074755,0.00074755
53,3096.3,0.42845,0.33394,0.84611,0.99528,0.99611,0.99498,0.92911,0.40804,0.19837,0.82447,0.0007426,0.0007426,0.0007426
54,3155.44,0.42241,0.33664,0.84461,0.9971,0.99805,0.995,0.92544,0.40771,0.18705,0.82333,0.00073765,0.00073765,0.00073765
55,3213.49,0.41755,0.32939,0.84471,0.99538,0.99732,0.995,0.9308,0.40456,0.19101,0.82438,0.0007327,0.0007327,0.0007327
56,3271.83,0.41541,0.32116,0.84363,0.99565,0.99782,0.99499,0.93343,0.39722,0.19144,0.81914,0.00072775,0.00072775,0.00072775
57,3330.05,0.41687,0.32556,0.84268,0.99675,0.99774,0.995,0.93048,0.40428,0.18717,0.82374,0.0007228,0.0007228,0.0007228
58,3388.17,0.40976,0.33099,0.83957,0.99567,0.99858,0.995,0.92715,0.41493,0.18823,0.8221,0.00071785,0.00071785,0.00071785
59,3446.35,0.41865,0.33099,0.84328,0.99605,0.99275,0.99495,0.93619,0.40208,0.19233,0.82186,0.0007129,0.0007129,0.0007129
60,3504.68,0.42507,0.34056,0.84677,0.99771,0.99376,0.995,0.92988,0.4097,0.19628,0.82492,0.00070795,0.00070795,0.00070795
61,3563.02,0.41482,0.32539,0.84434,0.99629,0.99857,0.995,0.93105,0.40345,0.19666,0.82288,0.000703,0.000703,0.000703
62,3621.37,0.40776,0.32253,0.84077,0.99725,0.99719,0.995,0.93181,0.3962,0.18705,0.82075,0.00069805,0.00069805,0.00069805
63,3679.53,0.40919,0.32387,0.83842,0.99835,0.99795,0.995,0.93436,0.39438,0.18562,0.81629,0.0006931,0.0006931,0.0006931
64,3737.58,0.4095,0.32112,0.8467,0.99837,0.99872,0.995,0.93511,0.3967,0.18947,0.81568,0.00068815,0.00068815,0.00068815
65,3795.74,0.39897,0.3131,0.84374,0.99794,0.99846,0.995,0.93779,0.38261,0.18031,0.81017,0.0006832,0.0006832,0.0006832
66,3854.02,0.40751,0.3204,0.83848,0.99813,0.99874,0.995,0.9353,0.3948,0.18574,0.81806,0.00067825,0.00067825,0.00067825
67,3913.76,0.39613,0.31969,0.83605,0.99848,0.99816,0.99435,0.93743,0.37827,0.18931,0.81283,0.0006733,0.0006733,0.0006733
68,3973.83,0.40019,0.32054,0.83812,0.99789,0.99971,0.995,0.93366,0.38395,0.17827,0.81112,0.00066835,0.00066835,0.00066835
