epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23227.9,0.50483,0.40948,0.96699,0.99534,0.9923,0.9945,0.90143,0.4071,0.1968,0.82253,0.00079705,0.00079705,0.00079705
43,23769.2,0.49902,0.41228,0.97059,0.9943,0.99195,0.99332,0.88119,0.43895,0.22822,0.85399,0.0007921,0.0007921,0.0007921
44,24308.1,0.50632,0.41165,0.96966,0.99143,0.99394,0.99378,0.8961,0.40562,0.20065,0.82096,0.00078715,0.00078715,0.00078715
45,24847.9,0.49506,0.41354,0.9551,0.99427,0.98818,0.99301,0.88225,0.43463,0.24409,0.8377,0.0007822,0.0007822,0.0007822
46,25388.8,0.50186,0.39493,0.9747,0.99368,0.99537,0.99395,0.9028,0.39834,0.19446,0.81616,0.00077725,0.00077725,0.00077725
47,25927.4,0.49661,0.41204,0.9612,0.99472,0.99276,0.99396,0.88957,0.4099,0.21331,0.82863,0.0007723,0.0007723,0.0007723
48,26468.9,0.49423,0.40787,0.96522,0.99355,0.99443,0.99459,0.8808,0.43951,0.48117,0.85513,0.00076735,0.00076735,0.00076735
49,27010.9,0.49243,0.40178,0.95421,0.99571,0.99236,0.99409,0.89613,0.4057,0.21412,0.82204,0.0007624,0.0007624,0.0007624
50,27552.9,0.48371,0.41258,0.95341,0.99462,0.99401,0.99445,0.89439,0.40992,0.22115,0.82482,0.00075745,0.00075745,0.00075745
51,28092.3,0.48439,0.40904,0.95925,0.9954,0.99118,0.99433,0.89633,0.40751,0.21212,0.81939,0.0007525,0.0007525,0.0007525
52,28633.8,0.48602,0.39657,0.95525,0.99398,0.99342,0.99415,0.89722,0.4083,0.21348,0.81909,0.00074755,0.00074755,0.00074755
53,29177.3,0.48235,0.39939,0.95684,0.99574,0.99034,0.99439,0.89698,0.41779,0.20533,0.83671,0.0007426,0.0007426,0.0007426
54,29718.3,0.48494,0.39642,0.94782,0.99151,0.99316,0.99435,0.90264,0.39837,0.2035,0.81563,0.00073765,0.00073765,0.00073765
55,30262,0.47954,0.40771,0.95342,0.99521,0.98997,0.99334,0.89075,0.40378,0.22679,0.81555,0.0007327,0.0007327,0.0007327
56,30802.1,0.47957,0.4068,0.94803,0.99279,0.9937,0.99418,0.90296,0.38965,0.19014,0.80624,0.00072775,0.00072775,0.00072775
57,31346.4,0.48518,0.41331,0.94121,0.99553,0.9927,0.99365,0.89231,0.4165,0.20373,0.8348,0.0007228,0.0007228,0.0007228
58,31890.1,0.47565,0.39642,0.94145,0.99481,0.9934,0.99433,0.89584,0.39897,0.19965,0.81371,0.00071785,0.00071785,0.00071785
59,32434.6,0.49088,0.40278,0.96238,0.99368,0.99474,0.99375,0.90075,0.39287,0.18554,0.81006,0.0007129,0.0007129,0.0007129
60,32978.7,0.47954,0.40807,0.95718,0.99455,0.9936,0.99463,0.90782,0.38775,0.18353,0.80783,0.00070795,0.00070795,0.00070795
61,33518.8,0.48137,0.39671,0.95808,0.99522,0.99234,0.99422,0.90565,0.38958,0.18599,0.81082,0.000703,0.000703,0.000703
62,34057.9,0.46639,0.37315,0.93805,0.99371,0.99183,0.99367,0.90245,0.38438,0.19743,0.80516,0.00069805,0.00069805,0.00069805
63,34597.8,0.47487,0.40396,0.94566,0.99244,0.99227,0.99296,0.90153,0.3901,0.18724,0.8104,0.0006931,0.0006931,0.0006931
64,35140.5,0.46919,0.39044,0.94517,0.99496,0.99067,0.99443,0.90312,0.38978,0.19241,0.80966,0.00068815,0.00068815,0.00068815
65,35685.7,0.47464,0.39545,0.94656,0.99285,0.99432,0.99447,0.90511,0.39606,0.19179,0.81626,0.0006832,0.0006832,0.0006832
66,36231.1,0.47424,0.40877,0.94536,0.99409,0.99105,0.99342,0.90234,0.38718,0.20716,0.80736,0.00067825,0.00067825,0.00067825
67,36776.1,0.46345,0.39105,0.94289,0.99408,0.99336,0.99439,0.90865,0.38906,0.19408,0.81035,0.0006733,0.0006733,0.0006733
68,37319.8,0.46942,0.3807,0.9426,0.99417,0.99327,0.99436,0.90643,0.39269,0.19152,0.81395,0.00066835,0.00066835,0.00066835
69,37864.7,0.46032,0.36613,0.94584,0.99552,0.9953,0.99416,0.91027,0.38475,0.17876,0.80542,0.0006634,0.0006634,0.0006634
70,38407,0.46205,0.39002,0.9455,0.99519,0.99532,0.99362,0.90103,0.38883,0.18512,0.80898,0.00065845,0.00065845,0.00065845
71,38952.6,0.46738,0.3977,0.958,0.99424,0.99476,0.99394,0.90655,0.38005,0.18209,0.80415,0.0006535,0.0006535,0.0006535
72,39498.1,0.45556,0.38789,0.93438,0.99415,0.99365,0.99403,0.90763,0.37832,0.18946,0.80372,0.00064855,0.00064855,0.00064855
73,40044.1,0.46047,0.37514,0.94089,0.99512,0.99423,0.99454,0.914,0.37355,0.17355,0.79897,0.0006436,0.0006436,0.0006436
74,40588.8,0.45712,0.38223,0.94472,0.99339,0.99357,0.99424,0.90904,0.38101,0.18285,0.80426,0.00063865,0.00063865,0.00063865
75,41134.1,0.45611,0.37652,0.94091,0.99368,0.98942,0.99383,0.91071,0.37123,0.19698,0.79825,0.0006337,0.0006337,0.0006337
76,41679.1,0.44421,0.37007,0.91366,0.99484,0.99141,0.99427,0.90853,0.36858,0.18195,0.7928,0.00062875,0.00062875,0.00062875
77,42221.8,0.45759,0.36578,0.93824,0.99316,0.99196,0.99431,0.90937,0.37004,0.18147,0.79812,0.0006238,0.0006238,0.0006238
78,42765.9,0.45435,0.3774,0.94069,0.99568,0.99086,0.99384,0.90946,0.37249,0.19498,0.79785,0.00061885,0.00061885,0.00061885
79,43307.5,0.44635,0.37248,0.92884,0.99408,0.99497,0.99433,0.91292,0.37042,0.17866,0.79623,0.0006139,0.0006139,0.0006139
80,43849.5,0.44352,0.37741,0.92777,0.99331,0.99288,0.99422,0.91172,0.37668,0.18371,0.80154,0.00060895,0.00060895,0.00060895
81,44389.7,0.44657,0.3772,0.92865,0.99563,0.99213,0.99413,0.90889,0.37735,0.18455,0.80128,0.000604,0.000604,0.000604
82,44932.1,0.44823,0.37093,0.94003,0.9946,0.99454,0.99463,0.9147,0.36959,0.17741,0.79451,0.00059905,0.00059905,0.00059905
83,45469.8,0.44687,0.37315,0.92869,0.99569,0.99132,0.99458,0.91415,0.37778,0.18473,0.79814,0.0005941,0.0005941,0.0005941
84,46010.7,0.43742,0.36376,0.92535,0.9947,0.99563,0.99468,0.91969,0.36306,0.16935,0.78944,0.00058915,0.00058915,0.00058915
85,46552.5,0.44217,0.36481,0.92462,0.99438,0.9921,0.99447,0.91244,0.37478,0.18558,0.80044,0.0005842,0.0005842,0.0005842
86,47092.8,0.4506,0.37903,0.92771,0.99273,0.99089,0.99436,0.91361,0.37444,0.17962,0.79924,0.00057925,0.00057925,0.00057925
87,47634.6,0.44516,0.36269,0.9298,0.99341,0.99457,0.99469,0.91355,0.36391,0.16921,0.79443,0.0005743,0.0005743,0.0005743
88,48169.7,0.43679,0.35613,0.92227,0.99501,0.99175,0.99428,0.9092,0.38002,0.17806,0.80309,0.00056935,0.00056935,0.00056935
89,48707.5,0.44092,0.36303,0.91365,0.9948,0.99248,0.99416,0.91178,0.37138,0.17919,0.79369,0.0005644,0.0005644,0.0005644
90,49246.6,0.43428,0.36405,0.92171,0.99486,0.99257,0.99446,0.91314,0.36968,0.18729,0.7964,0.00055945,0.00055945,0.00055945
91,49786.3,0.4275,0.3705,0.90972,0.99338,0.9926,0.99445,0.91116,0.36698,0.19835,0.79233,0.0005545,0.0005545,0.0005545
92,50328.5,0.43617,0.36661,0.93085,0.9931,0.99547,0.99472,0.92007,0.35778,0.17463,0.78764,0.00054955,0.00054955,0.00054955
93,50870.4,0.43456,0.3716,0.92721,0.99451,0.99426,0.99474,0.91934,0.35851,0.17323,0.78835,0.0005446,0.0005446,0.0005446
94,51412.4,0.4306,0.34908,0.92089,0.99188,0.99671,0.99474,0.92426,0.35749,0.16363,0.78939,0.00053965,0.00053965,0.00053965
95,51952.1,0.42067,0.34177,0.91916,0.99582,0.99205,0.99443,0.92187,0.35517,0.16677,0.78791,0.0005347,0.0005347,0.0005347
