epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6558,1.39079,2.86502,1.17524,0.19613,0.62922,0.25848,0.17931,1.18927,1.8749,1.12001,0.000296816,0.000296816,0.000296816
2,60.5323,1.08589,1.5435,1.0252,0.28627,0.67435,0.38236,0.26178,1.15283,1.42593,1.10648,0.000596847,0.000596847,0.000596847
3,88.3395,1.0647,1.42832,1.01404,0.31631,0.63444,0.38088,0.26442,1.16309,1.55482,1.12389,0.000893878,0.000893878,0.000893878
4,115.595,1.01408,1.30477,0.99219,0.40162,0.64413,0.49605,0.35215,1.08876,1.29576,1.09207,0.000895501,0.000895501,0.000895501
5,142.861,0.98016,1.22098,0.99176,0.49327,0.67279,0.59153,0.42746,1.06126,1.18659,1.0741,0.000891002,0.000891002,0.000891002
6,170.059,0.96084,1.12027,0.98121,0.57239,0.57976,0.58432,0.41854,1.03428,1.30258,1.08109,0.000886502,0.000886502,0.000886502
7,197.338,0.93736,1.07834,0.97197,0.63507,0.6363,0.68199,0.50102,1.00263,1.0788,1.05506,0.000882003,0.000882003,0.000882003
8,224.545,0.91521,0.98769,0.96261,0.62463,0.74244,0.74234,0.53212,1.03559,1.05313,1.06378,0.000877503,0.000877503,0.000877503
9,251.848,0.89624,0.94809,0.96051,0.73737,0.73268,0.79544,0.59837,0.97918,0.89214,1.03845,0.000873004,0.000873004,0.000873004
10,279.378,0.88929,0.90932,0.95123,0.73576,0.77116,0.82291,0.61437,0.96745,0.89696,1.04829,0.000868504,0.000868504,0.000868504
11,306.826,0.8569,0.8744,0.94576,0.7685,0.75648,0.83076,0.63061,0.94773,0.82219,1.02684,0.000864004,0.000864004,0.000864004
12,334.133,0.84726,0.84205,0.9353,0.76862,0.77019,0.84109,0.64817,0.93396,0.86198,1.02269,0.000859505,0.000859505,0.000859505
13,361.653,0.82255,0.79693,0.93065,0.78478,0.80373,0.86685,0.66419,0.93396,0.79916,1.02413,0.000855005,0.000855005,0.000855005
14,388.968,0.81245,0.78679,0.92236,0.80745,0.79356,0.8721,0.67899,0.90705,0.75176,1.02176,0.000850506,0.000850506,0.000850506
15,416.456,0.78362,0.75316,0.91981,0.8153,0.80917,0.87643,0.6794,0.91386,0.79098,1.02318,0.000846006,0.000846006,0.000846006
16,444.301,0.78935,0.73794,0.92005,0.82557,0.80372,0.87948,0.69113,0.90005,0.75707,1.02312,0.000841507,0.000841507,0.000841507
17,472.62,0.78055,0.71934,0.91955,0.83052,0.82182,0.8931,0.69738,0.89345,0.73699,1.00359,0.000837007,0.000837007,0.000837007
18,499.796,0.78883,0.69558,0.92157,0.83327,0.82791,0.9002,0.71057,0.88579,0.73567,1.00972,0.000832508,0.000832508,0.000832508
19,527.337,0.77155,0.68385,0.91404,0.82643,0.86761,0.90609,0.71243,0.88088,0.73549,1.01641,0.000828008,0.000828008,0.000828008
20,554.452,0.76953,0.68559,0.91566,0.82214,0.81963,0.88973,0.70826,0.88328,0.78036,1.01095,0.000823509,0.000823509,0.000823509
21,581.517,0.73629,0.65904,0.90543,0.86747,0.87005,0.9212,0.74137,0.87107,0.63705,1.00752,0.000819009,0.000819009,0.000819009
22,608.691,0.75818,0.65275,0.90959,0.85615,0.85823,0.91558,0.72777,0.8644,0.66215,0.99562,0.000814509,0.000814509,0.000814509
23,635.782,0.75131,0.63784,0.90822,0.84732,0.84436,0.90499,0.71904,0.86814,0.70119,1.00163,0.00081001,0.00081001,0.00081001
24,662.95,0.72501,0.61231,0.90579,0.88804,0.88419,0.94253,0.75097,0.85826,0.59479,1.0014,0.00080551,0.00080551,0.00080551
25,690.179,0.72577,0.61081,0.90119,0.86994,0.85664,0.92473,0.7434,0.8392,0.64485,0.98874,0.000801011,0.000801011,0.000801011
